avg_rtt,distance
23.04288148880005,482.7076013184006 km
69.75209712982178,1201.0132838015004 km
33.68593454360962,858.8938886403151 km
98.63672256469727,6443.234493374534 km
58.43099355697632,565.7178943665908 km
19.471776485443115,142.21869545590187 km
243.48474740982056,9819.839093677196 km
101.35989189147949,6489.73805527318 km
124.55148696899414,7676.730429323402 km
109.97601747512817,7992.324781041701 km
67.6041841506958,2798.587980212604 km
183.70683569657174,11121.950999338422 km
156.48016929626465,9702.971104845697 km
311.62060499191284,18596.368777627304 km
60.777294635772705,703.3010152957912 km
102.42431163787842,6144.208525821681 km
38.79866600036621,392.7579150871849 km
55.85358142852783,1089.1683385538468 km
30.225101270173724,645.0888775437726 km
131.5350890159607,7915.353107529556 km
21.212196350097656,707.4721732341675 km
280.2999019622803,16496.017399169956 km
32.805335521698,642.7399502147871 km
320.73349952697754,16573.10640384448 km
188.72911930084229,9069.136612790531 km
36.42067909240723,1164.5105952115416 km
275.87411403656006,8885.588074720134 km
209.12705659866333,10072.717195580666 km
37.423033463327506,594.5592752938464 km
110.90860366821289,6267.86680224379 km
48.28306436538696,1931.8105549669524 km
47.12095260620117,1641.0644806360722 km
291.25139713287354,10293.185001502527 km
101.84340476989746,6776.576078887047 km
66.99275970458984,2296.5067072155316 km
38.450515270233154,924.9223408507127 km
114.54600095748901,6609.119934851166 km
27.986937099032932,599.5856283769238 km
162.75243759155273,8558.864474413702 km
53.80961894989014,1621.138164874485 km
23.055779933929443,493.8500106750292 km
25.704586505889893,646.8570023695133 km
62.69127130508423,2136.1572587191163 km
38.51273059844971,681.6439766234703 km
110.726797580719,6124.111531782799 km
29.103565216064453,847.0107844906546 km
31.040668487548828,635.9566327743913 km
477.47633331700376,16557.80764454984 km
197.2458839416504,8062.918646977702 km
21.936464309692383,372.60694500245876 km
158.19003582000732,9561.533179350472 km
24.782824516296387,603.6952684778595 km
271.82652950286865,16576.588818481105 km
206.60057067871094,11852.119698690256 km
119.19853687286377,5251.724905603437 km
88.86451721191406,2296.249213271632 km
11.418330669403076,26.58840461620785 km
30.78848123550415,312.3331659934244 km
51.7667293548584,1542.529056270525 km
14.876019954681396,208.19327198597446 km
36.35212182998657,832.0189833638494 km
177.00384855270386,8511.594579561286 km
60.71727275848389,642.9465850522566 km
110.55335998535156,5493.640189948902 km
14.15947675704956,196.32359880556956 km
24.85719919204712,605.5784913062489 km
24.711251258850098,594.5592752938464 km
157.03061819076538,9538.412966250531 km
52.196717262268066,1931.1608860482852 km
334.55909490585327,16716.718955158318 km
34.78327989578247,934.1619505935264 km
57.41584300994873,1367.9308040965113 km
72.23323583602905,1409.2580817074988 km
28.78725528717041,798.9368800541283 km
57.2837856080797,1942.7049077835125 km
15.2571439743042,192.6865242000488 km
57.961201667785645,1693.4504272063048 km
31.523454189300537,975.8702201926108 km
28.704869747161865,880.8424082762422 km
305.9602975845337,8888.093502446865 km
27.90546417236328,795.4564432502821 km
31.795454025268555,798.9368800541283 km
286.75888776779175,8105.570163433489 km
34.701430797576904,1143.9182811497374 km
55.28308153152466,1089.1683385538468 km
223.4474778175354,9672.573888054992 km
284.4739079475403,16275.602370023547 km
38.69068622589111,1006.6220050424097 km
24.468255043029785,603.1304940045009 km
277.89597511291504,11868.374023660479 km
